GLON,GLAT,RECNO,ASSOC_3FGL,VHE,Cln,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XGP,logCpt,FRad,n_FRad,FX,Vmag1,Vmag2,ARO,AOX
089.0847,-67.2901,       1,J0001.2-0748 ,  0,Y,PMN J0001-0746            ,000.32510,-07.77415, 0.042, 0.075,bll    ,ISP,14.486,14.486,        , 0.997, 0.859, 0.000,      ,   209.17,N,   8.100,17.612,17.210, 0.50, 1.38
107.6563,-40.1603,       2,J0001.4+2120 ,  0,Y,TXS 2358+209              ,000.38502,+21.22679, 0.113, 0.199,fsrq   ,ISP,14.163,14.486, 1.10600, 0.924, 0.000, 0.000, 2.396,   217.87,N,  23.100,18.714,18.420, 0.63, 0.92
334.3211,-72.0294,       3,J0002.2-4152 ,  0,Y,1RXS J000135.5-415519     ,000.38642,-41.92367, 0.137, 0.174,bcu II ,HSP,15.800,15.800,        , 0.972, 0.000, 0.000,-0.586,    13.20,S,        ,18.427,      , 0.33, 1.07
318.9444,-62.8158,       4,J0003.2-5246 ,  0,Y,RBS 0006                  ,000.83121,-52.79103, 0.017, 0.065,bcu II ,HSP,16.850,16.850,        , 0.998, 0.000, 0.900,-0.517,    65.30,S,  48.500,18.813,      , 0.52, 0.86
084.6654,-71.0798,       5,J0003.8-1151 ,  0,N,PMN J0004-1148            ,001.02048,-11.81622, 0.076, 0.114,bcu II ,LSP,12.515,12.515,        , 0.995, 0.869, 0.000,-0.357,   459.60,N,        ,18.575,      , 0.74,
084.3536,-71.0681,       6,J0003.8-1151 ,  0,N,PKS 0001-121              ,000.92848,-11.86372, 0.030, 0.114,bcu I  ,-  ,      ,      , 1.30999, 0.988, 0.871, 0.000,      ,   352.48,N,        ,17.423,      , 0.53,
323.9468,-67.5662,       7,J0004.7-4740 ,  0,Y,PKS 0002-478              ,001.14856,-47.60545, 0.069, 0.084,fsrq   ,LSP,13.145,13.419, 0.88000, 0.993, 0.927, 0.000, 0.304,   932.90,S,  14.900,17.296,      , 0.67, 1.16
113.2103,-23.6741,       8,J0006.4+3825 ,  0,Y,S4 0003+38                ,001.48823,+38.33754, 0.126, 0.179,fsrq   ,LSP,13.145,13.235, 0.22900, 0.992, 0.844, 0.000, 0.689,   572.76,N,        ,17.724,      , 0.65, 1.36
115.3158,-15.0262,       9,J0008.0+4713 ,  0,Y,MG4 J000800+4712          ,001.99989,+47.20216, 0.028, 0.031,bll    ,HSP,15.400,15.891, 2.10000, 0.999, 0.839, 0.843, 0.160,    60.86,N,  14.800,18.283,      , 0.41, 1.14
050.3020,-79.7242,      10,J0008.6-2340 ,  0,Y,RBS 0016                  ,002.14750,-23.65778, 0.028, 0.070,bll    ,ISP,14.720,14.780, 0.14700, 0.999, 0.000, 0.890,-0.255,    36.26,N,  47.100,16.641,      , 0.42, 0.95
104.4245,-54.8694,      11,J0009.1+0630 ,  0,N,CRATES J000903.95+062821.5,002.26638,+06.47257, 0.043, 0.060,bll    ,LSP,13.440,13.440,        , 0.994, 0.875, 0.803,      ,   247.06,N,  13.000,18.704,18.110, 0.62, 1.14
104.4950,-54.9238,      12,J0009.1+0630 ,  0,N,GB6 J0009+0625            ,002.32106,+06.43187, 0.078, 0.060,bll    ,ISP,14.822,14.822,        , 0.931, 0.000, 0.000,      ,   180.08,N,        ,19.492,19.200, 0.74, 1.30
116.1226,-11.8068,      13,J0009.3+5030 ,  0,Y,NVSS J000922+503028       ,002.34483,+50.50801, 0.007, 0.020,bll    ,HSP,15.150,15.150,        , 0.999, 0.854, 0.000,      ,    12.27,N,        ,      ,      ,     ,
000.8724,-79.5639,      14,J0009.6-3211 ,  0,N,IC 1531                   ,002.39816,-32.27692, 0.078, 0.141,bcu I  ,ISP,14.645,14.656, 0.02500, 0.963, 0.847, 0.000,-0.906,   388.85,N,   5.010, 8.910,      ,-0.09, 2.75
332.4578,-74.9392,      15,J0013.2-3954 ,  0,Y,PKS 0010-401              ,003.24962,-39.90724, 0.042, 0.054,bll    ,LSP,12.270,12.270,        , 0.999, 0.918, 0.000,      ,   494.61,N,        ,18.090,      , 0.74,
074.6318,-78.0869,      16,J0013.9-1853 ,  1,Y,RBS 0030                  ,003.48351,-18.90186, 0.009, 0.060,bll    ,HSP,16.721,16.760, 0.09440, 0.999, 0.000, 0.939,-1.211,    29.63,N, 126.000,12.946,      ,-0.01, 1.58
317.4500,-65.6894,      17,J0014.0-5025 ,  0,Y,RBS 0032                  ,003.54675,-50.37575, 0.056, 0.079,bll    ,HSP,16.925,16.925,        , 0.998, 0.000, 0.911,      ,    15.10,S, 123.000,19.060,      , 0.52, 0.43
103.9989,-61.8224,      18,J0016.3-0013 ,  0,Y,S3 0013-00                ,004.04620,-00.25346, 0.040, 0.107,fsrq   ,LSP,12.402,12.813, 1.57700, 0.997, 0.932, 0.000, 1.792,  1085.71,N,        ,19.986,19.120, 0.83, 1.20
099.5147,-68.1423,      19,J0017.2-0643 ,  0,Y,PMN J0017-0650            ,004.28913,-06.84304, 0.120, 0.114,bcu II ,LSP,13.670,13.670,        , 0.812, 0.000, 0.000,-0.192,    93.98,N,        ,18.604,18.310, 0.52,
101.2394,-66.6474,      20,J0017.6-0512 ,  0,Y,PMN J0017-0512            ,004.39924,-05.21160, 0.008, 0.068,fsrq   ,LSP,13.600,13.689, 0.22700, 0.999, 0.876, 0.843, 0.967,   178.44,N,  17.400,18.088,17.020, 0.54, 1.24
114.4442,-32.5357,      21,J0018.4+2947 ,  0,Y,RBS 0042                  ,004.61579,+29.79199, 0.011, 0.078,bll    ,HSP,16.772,16.813, 0.10000, 0.999, 0.000, 0.932,-1.042,    33.80,N, 143.000,17.471,18.040, 0.43, 0.63
304.3136,-35.1610,      22,J0018.9-8152 ,  0,Y,PMN J0019-8152            ,004.83602,-81.88095, 0.013, 0.054,bll    ,HSP,15.144,15.144,        , 0.997, 0.818, 0.912,      ,    87.00,S,  49.900,16.348,      , 0.31, 1.27
311.6913,-59.8857,      23,J0019.1-5645 ,  0,Y,PMN J0019-5641            ,004.86088,-56.69513, 0.066, 0.108,bcu II ,LSP,12.830,12.830,        , 0.986, 0.000, 0.000, 1.058,    60.60,S,        ,21.309,      , 0.74,
112.8989,-41.8886,      24,J0019.4+2021 ,  0,Y,PKS 0017+200              ,004.90773,+20.36268, 0.043, 0.132,bll    ,LSP,12.320,12.320,        , 0.994, 0.919, 0.000,      ,   983.99,N,        ,19.899,19.160, 0.87, 1.32
042.0905,-83.1902,      25,J0021.6-2553 ,  0,Y,CRATES J002132.55-255049.3,005.38562,-25.84705, 0.047, 0.053,bll    ,ISP,14.528,14.528,        , 0.992, 0.000, 0.000,      ,    69.02,N,        ,17.221,      , 0.49, 1.63
306.7354,-48.5775,      26,J0021.6-6835 ,  0,N,PKS 0021-686              ,006.02801,-68.34850, 0.333, 0.297,bcu II ,LSP,13.440,13.440,        , 0.945, 0.850, 0.000, 0.694,  1248.00,S,  21.700,16.493,      , 0.51, 1.35
082.1420,-79.3654,      27,J0022.1-1855 ,  0,Y,1RXS J002209.2-185333     ,005.53862,-18.89302, 0.030, 0.032,bll    ,HSP,15.130,15.130,        , 0.992, 0.000, 0.828,      ,    22.53,N,  10.900,17.447,      , 0.34, 1.28
313.6993,-64.8346,      28,J0022.1-5141 ,  0,Y,1RXS J002159.2-514028     ,005.49933,-51.67381, 0.035, 0.047,bll    ,HSP,15.680,15.680,        , 0.997, 0.000, 0.903,      ,    20.00,S,  50.900,16.579,      , 0.24, 1.18
110.0080,-56.0104,      29,J0022.5+0608 ,  0,Y,PKS 0019+058              ,005.63517,+06.13452, 0.008, 0.036,bll    ,LSP,13.112,13.112,        , 1.000, 0.938, 0.000,      ,   340.32,N,        ,19.510,17.830, 0.60, 1.45
117.7666,-17.6490,      30,J0023.5+4454 ,  0,Y,B3 0020+446               ,005.89768,+44.94327, 0.040, 0.123,fsrq   ,LSP,12.736,13.050, 1.06200, 0.997, 0.800, 0.000, 1.199,   140.60,N,        ,      ,      ,     ,
110.1552,-58.3906,      31,J0024.4+0350 ,  0,Y,GB6 J0024+0349            ,006.18841,+03.81766, 0.082, 0.115,fsrq   ,LSP,13.460,13.649, 0.54500, 0.980, 0.000, 0.000, 0.437,    22.08,N,        ,19.812,18.630, 0.51,
315.9233,-70.4773,      32,J0026.7-4603 ,  0,N,1RXS J002636.3-460101     ,006.64879,-46.01922, 0.048, 0.134,bll    ,HSP,17.408,17.408,        , 0.999, 0.000, 0.899,      ,    38.70,S, 141.000,18.066,      , 0.45, 0.73
121.4070,+12.3006,      33,J0028.6+7507 ,  0,Y,GB6 J0028+7506            ,007.05443,+75.10358, 0.031, 0.082,bcu II ,ISP,14.230,14.230,        , 0.994, 0.000, 0.000, 0.605,    81.10,N,        ,      ,      ,     ,
115.6103,-42.5379,      34,J0028.8+1951 ,  0,N,TXS 0025+197              ,007.12424,+20.00743, 0.172, 0.159,bcu III,-  ,      ,      ,        , 0.944, 0.000, 0.000,-1.502,   287.09,N,        ,19.942,19.320, 0.71,
305.6391,-46.2541,      35,J0029.1-7045 ,  0,Y,PKS 0026-710              ,007.17318,-70.75442, 0.041, 0.061,bll    ,ISP,14.230,14.230,        , 0.999, 0.935, 0.000,      ,   260.00,A,        ,17.437,      , 0.59,
096.5783,-78.5646,      36,J0030.2-1646 ,  0,Y,1RXS J003019.6-164723     ,007.58494,-16.78729, 0.022, 0.042,bcu II ,HSP,15.520,15.520,        , 0.997, 0.000, 0.840,-0.064,     9.53,N,  10.200,17.777,      , 0.28, 1.28
317.3264,-74.1192,      37,J0030.3-4223 ,  0,Y,PKS 0027-426              ,007.57289,-42.41291, 0.021, 0.052,fsrq   ,LSP,13.239,13.414, 0.49500, 0.999, 0.925, 0.000, 1.522,   424.80,S,        ,18.646,      , 0.72, 1.06
110.6914,-64.5726,      38,J0030.7-0209 ,  0,Y,PKS B0027-024             ,007.63260,-02.19893, 0.077, 0.070,bcu II ,LSP,12.576,12.576,        , 0.881, 0.882, 0.000, 1.050,   297.00,A,        ,18.525,19.110, 0.63,
114.1925,-55.1153,      39,J0031.3+0724 ,  0,Y,NVSS J003119+072456       ,007.83212,+07.41488, 0.002, 0.072,bcu II ,HSP,15.176,15.176,        , 1.000, 0.000, 0.000,-0.712,    12.20,N,        ,19.167,17.000, 0.23, 1.75
009.7296,-85.4998,      40,J0032.3-2852 ,  0,Y,PMN J0032-2849            ,008.13793,-28.82199, 0.069, 0.075,bll    ,ISP,14.580,14.702, 0.32400, 0.980, 0.805, 0.000,-0.501,   160.73,N,        ,17.180,      , 0.49, 1.61
094.1744,-81.2161,      41,J0033.6-1921 ,  1,Y,KUV 00311-1938            ,008.39325,-19.35920, 0.010, 0.019,bll    ,HSP,15.920,16.127, 0.61000, 1.000, 0.865, 0.970,-0.050,    18.89,N, 149.000,16.259,      , 0.20, 1.03
117.1527,-47.4388,      42,J0035.2+1513 ,  0,Y,RX J0035.2+1515           ,008.81135,+15.25115, 0.029, 0.041,bll    ,HSP,15.102,15.102,        , 0.999, 0.000, 0.923,      ,    18.80,N,  73.300,17.063,16.360, 0.22, 1.17
117.7601,-50.0964,      43,J0037.9+1239 ,  0,Y,NVSS J003750+123818       ,009.46200,+12.63886, 0.019, 0.044,bll    ,HSP,15.370,15.407, 0.08900, 0.999, 0.860, 0.823,-0.777,    75.68,N,   7.960,14.387,15.320, 0.29, 1.56
115.7282,-62.4588,      44,J0038.0+0012 ,  0,Y,NVSS J003808+001336       ,009.53546,+00.22681, 0.022, 0.079,bll    ,LSP,13.940,13.940,        , 0.998, 0.823, 0.000,      ,    96.15,N,        ,19.669,18.610, 0.58,
068.0923,-86.3429,      45,J0038.0-2501 ,  0,Y,PKS 0035-252              ,009.56140,-24.98395, 0.068, 0.103,fsrq   ,LSP,12.416,12.758, 1.19600, 0.999, 0.872, 0.000, 0.471,   412.99,N,  24.100,17.291,      , 0.62, 1.07
092.0501,-84.4519,      46,J0039.0-2218 ,  0,Y,PMN J0039-2220            ,009.78420,-22.33374, 0.041, 0.100,bcu I  ,HSP,16.053,16.080, 0.06438, 0.983, 0.802, 0.822,-0.423,   117.15,N,  25.900,11.506,      , 0.01, 2.08
120.5687,-19.3112,      47,J0039.1+4330 ,  0,Y,NVSS J003907+433015       ,009.78400,+43.50406, 0.010, 0.055,bcu III,-  ,      ,      ,        , 0.995, 0.000, 0.000,-2.369,     8.19,N,        ,21.059,      , 0.50,
112.8655,-72.3433,      48,J0039.1-0939 ,  0,Y,TXS 0036-099              ,009.77622,-09.71302, 0.056, 0.202,fsrq   ,LSP,12.522,13.014, 2.10150, 0.980, 0.000, 0.000, 1.746,   154.06,N,        ,19.665,      , 0.72,
120.6449,-21.9871,      49,J0040.3+4049 ,  0,Y,B3 0037+405               ,010.05624,+40.83481, 0.026, 0.041,bcu I  ,-  ,      ,      ,        , 0.999, 0.824, 0.891,      ,    48.15,N,  25.500,19.156,      , 0.44, 0.94
086.6077,-85.7369,      50,J0040.5-2339 ,  0,Y,PMN J0040-2340            ,010.10378,-23.66692, 0.043, 0.081,bcu I  ,ISP,14.358,14.442, 0.21300, 0.996, 0.000, 0.000,-0.644,    53.68,N,        ,16.539,      , 0.33, 1.86
120.8548,-26.1474,      51,J0041.9+3639 ,  0,Y,RX J0042.0+3641           ,010.53424,+36.68687, 0.037, 0.068,bll    ,HSP,16.500,16.500,        , 0.998, 0.000, 0.873,      ,    11.98,N,  36.800,18.034,18.020, 0.33, 1.00
120.1469,-39.4875,      52,J0042.0+2318 ,  0,Y,PKS 0039+230              ,010.51894,+23.33363, 0.029, 0.154,fsrq   ,LSP,12.235,12.620, 1.42600, 0.992, 0.925, 0.000, 0.671,  1269.82,N,        ,      ,20.060, 0.93,
117.8005,-67.5105,      53,J0043.5-0444 ,  0,Y,1RXS J004333.7-044257     ,010.89220,-04.71717, 0.023, 0.057,bcu II ,HSP,17.250,17.250,        , 0.998, 0.000, 0.904,-0.578,    29.82,N,  49.200,19.291,17.980, 0.38, 1.00
116.1171,-74.0395,      54,J0043.7-1117 ,  0,Y,1RXS J004349.3-111612     ,010.95291,-11.26878, 0.026, 0.071,bcu II ,HSP,15.440,15.440,        , 0.997, 0.000, 0.000, 0.134,    24.93,N,  11.000,18.085,      , 0.38, 1.22
121.1449,-28.4047,      55,J0043.8+3425 ,  0,Y,GB6 J0043+3426            ,010.95351,+34.44058, 0.017, 0.034,fsrq   ,ISP,13.810,14.104, 0.96600, 1.000, 0.887, 0.000, 0.937,    93.41,N,        ,19.994,19.110, 0.60,
310.0725,-79.9448,      56,J0045.2-3704 ,  0,Y,PKS 0042-373              ,011.30027,-37.09680, 0.019, 0.086,bcu II ,LSP,12.760,12.760,        , 0.999, 0.890, 0.000, 1.241,   329.84,N,        ,19.596,      , 0.75,
121.0350,-41.3881,      57,J0045.3+2126 ,  0,Y,GB6 J0045+2127            ,011.33041,+21.46111, 0.023, 0.025,bll    ,HSP,16.001,16.001,        , 0.998, 0.844, 0.922,      ,    50.16,N,  39.900,16.963,16.370, 0.32, 1.26
120.7338,-50.5607,      58,J0045.7+1217 ,  0,Y,GB6 J0045+1217            ,011.43059,+12.28661, 0.004, 0.037,bll    ,ISP,14.300,14.300,        , 0.999, 0.897, 0.887,      ,   103.86,N,  14.600,17.727,16.780, 0.37, 1.38
303.1355,-32.7477,      59,J0046.7-8419 ,  0,Y,PKS 0044-84               ,011.11120,-84.37777, 0.081, 0.139,fsrq   ,LSP,13.110,13.418, 1.03200, 0.995, 0.897, 0.000, 2.413,   693.40,S,        ,19.649,      , 0.80,
121.9050,-40.2750,      60,J0048.0+2236 ,  0,Y,NVSS J004802+223525       ,012.01090,+22.59003, 0.011, 0.073,fsrq   ,ISP,13.670,14.005, 1.16100, 0.999, 0.827, 0.000, 0.613,    83.82,N,        ,19.260,18.030, 0.52, 1.59
122.1988,-23.0501,      61,J0048.0+3950 ,  0,Y,B3 0045+395               ,011.98123,+39.81668, 0.033, 0.065,bll    ,HSP,15.300,15.398, 0.25200, 0.998, 0.830, 0.000,-0.210,    93.22,N,   5.410,17.412,16.770, 0.37, 1.51
304.2417,-75.2632,      62,J0049.4-4149 ,  0,Y,1RXS J004939.9-415133     ,012.41217,-41.86050, 0.052, 0.076,bcu II ,HSP,15.850,15.850,        , 0.991, 0.000, 0.806,-0.328,         ,N,  20.300,19.443,      , 0.55, 0.91
303.4599,-63.0807,      63,J0049.4-5401 ,  0,Y,PMN J0049-5402            ,012.45233,-54.04592, 0.063, 0.089,bcu II ,HSP,15.560,15.560,        , 0.963, 0.832, 0.000,-0.598,   196.10,S,        ,17.612,      , 0.46,
122.0676,-60.2511,      64,J0049.7+0237 ,  0,Y,PKS 0047+023              ,012.43015,+02.61772, 0.013, 0.066,bll    ,LSP,13.240,13.633, 1.47400, 0.999, 0.920, 0.000, 0.253,   425.98,N,        ,18.839,17.900, 0.58, 1.46
303.3132,-59.4863,      65,J0049.8-5737 ,  0,Y,PKS 0047-579              ,012.49780,-57.64093, 0.025, 0.056,fsrq   ,LSP,12.704,13.151, 1.79700, 1.000, 0.969, 0.000, 0.561,  2045.00,S,   9.070,16.915,      , 0.70, 1.27
304.1805,-72.1699,      66,J0050.0-4458 ,  0,Y,PMN J0049-4457            ,012.31927,-44.95310, 0.139, 0.145,bcu I  ,LSP,13.820,13.870, 0.12100, 0.960, 0.813, 0.000, 0.150,   336.00,A,  36.500,16.534,      , 0.44, 1.25
122.2223,-67.7427,      67,J0050.4-0449 ,  0,Y,PKS 0047-051              ,012.58973,-04.87239, 0.051, 0.107,fsrq   ,LSP,12.949,13.232, 0.92000, 0.997, 0.844, 0.000, 1.048,   254.40,N,        ,19.767,18.800, 0.68, 1.29
122.3224,-72.3556,      68,J0050.6-0929 ,  0,Y,PKS 0048-09               ,012.67216,-09.48478, 0.002, 0.026,bll    ,ISP,14.400,14.614, 0.63500, 1.000, 0.969, 0.946,-0.171,   814.72,N,  50.300,16.890,15.330, 0.46, 1.37
122.7164,-69.7056,      69,J0051.0-0649 ,  0,Y,PKS 0048-071              ,012.78421,-06.83395, 0.024, 0.061,fsrq   ,LSP,12.830,13.303, 1.97500, 0.999, 0.947, 0.000, 0.053,   904.62,N,        ,19.745,18.830, 0.79, 1.18
302.9642,-54.4267,      70,J0051.2-6241 ,  0,Y,1RXS J005117.7-624154     ,012.81854,-62.70150, 0.013, 0.028,bcu II ,HSP,15.904,15.904,        , 1.000, 0.816, 0.939,-0.229,    43.20,S,  45.700,16.752,      , 0.31, 1.18
141.9286,-87.6722,      71,J0054.8-2455 ,  0,Y,FRBA J0054-2455           ,013.69483,-24.92478, 0.026, 0.037,bll    ,-  ,      ,      ,        , 0.996, 0.000, 0.909,      ,    24.46,N,  37.000,17.360,      , 0.34, 1.10
126.5149,-75.1448,      72,J0055.2-1213 ,  0,Y,TXS 0052-125              ,013.79909,-12.29919, 0.067, 0.127,bcu II ,LSP,12.305,12.305,        , 0.986, 0.823, 0.000, 0.680,   263.12,N,        ,      ,      ,     ,
126.9360,-72.4420,      73,J0056.3-0935 ,  0,Y,TXS 0053-098              ,014.08367,-09.60829, 0.016, 0.056,bll    ,HSP,15.504,15.547, 0.10310, 0.999, 0.893, 0.931,-0.403,   200.86,N,  90.700,12.105,14.450, 0.28, 1.39
134.4556,-84.0429,      74,J0056.3-2116 ,  0,Y,PMN J0056-2117            ,014.13448,-21.28559, 0.054, 0.054,bll    ,ISP,14.670,14.670,        , 0.970, 0.000, 0.000,      ,    90.31,N,   7.330,17.111,      , 0.48, 1.41
127.4432,-68.4780,      75,J0057.9-0542 ,  0,N,PKS 0055-059              ,014.52111,-05.66452, 0.058, 0.147,fsrq   ,LSP,12.590,12.941, 1.24560, 0.981, 0.897, 0.000, 0.548,   742.38,N,        ,18.877,18.530, 0.75,
288.6104,-84.3712,      76,J0058.0-3233 ,  0,Y,PKS 0055-328              ,014.50929,-32.57243, 0.007, 0.043,bll    ,LSP,13.440,13.440,        , 1.000, 0.909, 0.000,      ,   186.41,N,        ,19.789,      , 0.84, 1.11
124.6405,-29.6601,      77,J0058.3+3315 ,  0,Y,MG3 J005830+3311          ,014.63362,+33.18811, 0.088, 0.104,fsrq   ,LSP,12.935,13.310, 1.36900, 0.979, 0.000, 0.000, 0.906,   160.67,N,        ,19.771,20.040, 0.74, 1.21
300.9259,-60.1131,      78,J0059.1-5701 ,  0,N,PKS 0056-572              ,014.69409,-56.98652, 0.066, 0.154,bcu I  ,LSP,12.770,12.778, 0.01800, 0.998, 0.874, 0.000, 1.104,   479.40,S,  27.900,17.145,      , 0.62, 1.20
127.5122,-64.6402,      79,J0059.2-0152 ,  0,Y,1RXS J005916.3-015030     ,014.82053,-01.83824, 0.046, 0.068,bll    ,HSP,15.757,15.815, 0.14400, 0.990, 0.000, 0.834,-0.260,    18.14,N,  21.500,16.298,16.360, 0.29, 1.22
127.1062,-62.6954,      80,J0059.6+0003 ,  0,Y,PKS 0056-00               ,014.77298,+00.11434, 0.146, 0.212,fsrq   ,LSP,13.056,13.291, 0.71900, 0.958, 0.923, 0.000, 0.310,  2509.48,N,   9.130,17.728,17.440, 0.75, 1.24
126.7851,-55.0408,      81,J0100.2+0745 ,  0,Y,GB6 J0100+0745            ,015.08661,+07.76428, 0.019, 0.029,bll    ,LSP,13.358,13.358,        , 1.000, 0.892, 0.000,      ,    98.88,N,        ,      ,      ,     ,
125.1093,-20.5866,      82,J0102.3+4217 ,  0,Y,GB6 J0102+4214            ,015.61313,+42.23861, 0.052, 0.116,fsrq   ,LSP,13.005,13.278, 0.87400, 0.993, 0.000, 0.000, 1.853,    43.22,N,        ,20.623,17.930, 0.50,
127.5371,-49.3656,      83,J0103.7+1323 ,  0,Y,NVSS J010345+132346       ,015.94059,+13.39591, 0.003, 0.075,bcu III,-  ,      ,      ,        , 0.994, 0.000, 0.000,      ,    51.97,N,        ,17.962,17.590, 0.40,
170.5662,-85.8248,      84,J0105.1-2415 ,  0,Y,PKS 0102-245              ,016.24252,-24.27457, 0.046, 0.110,fsrq   ,LSP,12.200,12.639, 1.74700, 0.999, 0.838, 0.000, 1.352,   234.66,N,        ,19.729,      , 0.77,
125.8138,-23.3241,      85,J0105.3+3928 ,  0,Y,GB6 J0105+3928            ,016.28832,+39.47092, 0.033, 0.087,bll    ,LSP,13.460,13.618, 0.44000, 0.996, 0.803, 0.000,-0.263,    91.58,N,        ,18.034,      , 0.46,
137.5913,-74.6114,      86,J0107.0-1208 ,  0,Y,PMN J0107-1211            ,016.79912,-12.18993, 0.055, 0.115,bcu II ,ISP,14.040,14.040,        , 0.977, 0.000, 0.000, 0.168,    59.93,N,        ,18.312,      , 0.49,
132.3912,-63.1823,      87,J0108.5-0035 ,  0,Y,PKS 0105-008              ,017.11184,-00.62338, 0.040, 0.215,fsrq   ,LSP,13.022,13.398, 1.37463, 0.969, 0.888, 0.000, 0.134,   932.84,N,        ,17.306,17.150, 0.66,
131.8270,-60.9908,      88,J0108.7+0134 ,  0,Y,4C +01.02                 ,017.16155,+01.58342, 0.019, 0.025,fsrq   ,LSP,12.690,13.181, 2.09900, 1.000, 0.980, 0.000, 0.980,  2621.34,N,   4.300,18.779,17.490, 0.79, 1.31
128.8172,-44.4007,      89,J0109.1+1816 ,  0,Y,MG1 J010908+1816          ,017.28407,+18.26875, 0.006, 0.045,bll    ,HSP,14.860,15.019, 0.44300, 1.000, 0.876, 0.943,-0.538,    90.87,N,  97.500,15.741,16.370, 0.34, 1.10
287.9589,-76.2373,      90,J0109.9-4020 ,  0,Y,RBS 0158                  ,017.48542,-40.34836, 0.015, 0.049,bll    ,HSP,16.050,16.168, 0.31300, 0.998, 0.832, 0.942,-0.422,    96.00,S, 112.000,18.301,      , 0.59, 0.60
141.5969,-75.0825,      91,J0110.9-1254 ,  0,Y,1RXS J011050.0-125455     ,017.70819,-12.91807, 0.027, 0.075,bll    ,HSP,16.450,16.541, 0.23400, 0.999, 0.000, 0.932,-0.886,    17.50,N, 151.000,16.942,      , 0.29, 0.87
132.1036,-56.9066,      92,J0111.5+0535 ,  0,Y,1RXS J011130.5+053612     ,017.87627,+05.60732, 0.022, 0.081,bll    ,-  ,      ,      , 0.34600, 0.999, 0.000, 0.884,      ,    16.66,N,  45.000,19.097,18.090, 0.36, 0.88
129.1425,-39.8784,      93,J0112.1+2245 ,  0,Y,S2 0109+22                ,018.02427,+22.74411, 0.015, 0.016,bll    ,ISP,14.325,14.325, 0.26500, 1.000, 0.950, 0.950,-0.167,   385.89,N,  47.000,15.621,14.220, 0.30, 1.57
128.1904,-30.5150,      94,J0112.8+3207 ,  0,Y,4C 31.03                  ,018.20972,+32.13818, 0.011, 0.027,fsrq   ,ISP,14.256,14.461, 0.60300, 1.000, 0.963, 0.000, 0.774,   684.80,N,        ,19.023,15.970, 0.51, 1.28
276.9044,-80.1737,      95,J0113.0-3554 ,  0,N,PMN J0112-3552            ,018.16110,-35.85790, 0.088, 0.113,bcu II ,LSP,12.690,12.690,        , 0.988, 0.000, 0.000, 1.636,    77.82,N,        ,20.580,      , 0.72,
276.2796,-80.1077,      96,J0113.0-3554 ,  0,N,PMN J0113-3551            ,018.31607,-35.86344, 0.061, 0.113,fsrq   ,LSP,12.760,13.106, 1.22000, 0.996, 0.808, 0.000, 0.708,   180.16,N,        ,20.267,      , 0.80,
126.5724,-12.9094,      97,J0113.4+4948 ,  0,Y,S4 0110+49                ,018.36253,+49.80668, 0.010, 0.051,fsrq   ,LSP,13.110,13.253, 0.38900, 1.000, 0.947, 0.896,-0.075,   667.40,N,  29.600,18.826,      , 0.72, 0.95
131.6472,-49.0476,      98,J0114.8+1326 ,  0,Y,GB6 J0114+1325            ,018.71990,+13.42709, 0.008, 0.042,bll    ,ISP,14.800,14.999, 0.58300, 1.000, 0.864, 0.000, 0.061,    64.00,N,        ,17.260,16.890, 0.38, 1.59
134.5192,-58.3801,      99,J0115.7+0356 ,  0,Y,PMN J0115+0356            ,018.91880,+03.94536, 0.018, 0.044,bll    ,HSP,15.100,15.100,        , 0.999, 0.874, 0.000,      ,    99.55,N,        ,19.670,16.310, 0.36, 1.60
129.8393,-37.2137,     100,J0115.8+2519 ,  0,Y,RX J0115.7+2519           ,018.94226,+25.33148, 0.012, 0.028,bll    ,HSP,15.290,15.423, 0.35800, 1.000, 0.861, 0.939,-0.008,    38.27,N,  50.300,18.226,16.680, 0.29, 1.20
144.6688,-73.4218,     101,J0116.0-1134 ,  0,Y,PKS 0113-118              ,019.05218,-11.60429, 0.046, 0.061,fsrq   ,LSP,12.880,13.103, 0.67000, 0.998, 0.956, 0.813, 0.180,  1785.39,N,  17.500,17.556,      , 0.75, 1.11
220.7826,-84.5326,     102,J0116.2-2744 ,  0,Y,1RXS J011555.6-274428     ,018.98141,-27.74207, 0.075, 0.078,bcu III,-  ,      ,      ,        , 0.953, 0.000, 0.000,-2.443,    17.27,N,  21.400,19.720,      , 0.48, 0.85
297.8267,-54.9854,     103,J0116.3-6153 ,  0,Y,SUMSS J011619-615343      ,019.08172,-61.89542, 0.009, 0.042,bll    ,ISP,14.525,14.525,        , 1.000, 0.000, 0.000,      ,    26.90,S,        ,17.975,      , 0.39,
169.6797,-81.5467,     104,J0117.8-2113 ,  0,N,PKS 0115-214              ,019.45325,-21.18518, 0.033, 0.078,fsrq   ,LSP,13.120,13.516, 1.49000, 0.998, 0.875, 0.000, 0.151,   254.77,N,        ,      ,      ,     ,
173.4472,-81.7090,     105,J0118.8-2142 ,  0,Y,PKS 0116-219              ,019.73859,-21.69171, 0.034, 0.035,fsrq   ,LSP,12.845,13.180, 1.16500, 0.999, 0.924, 0.000, 0.683,   447.90,N,   2.500,19.858,      , 0.84, 1.05
