GLON,GLAT,RECNO,ASSOC_3FGL,VHE,Cln,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XGP,logCpt,FRad,n_FRad,FX,Vmag1,Vmag2,ARO,AOX
136.9373,+64.5775,     855,J1212.6+5135 ,  0,Y,1RXS J121301.8+512942     ,183.25365,+51.49328, 0.122, 0.113,bll    ,HSP,15.700,15.700,        , 0.865, 0.000, 0.000,      ,    36.32,N,  17.000,18.472,17.940, 0.43, 1.11
292.4074,+35.7907,     856,J1213.1-2619 ,  0,Y,RBS 1080                  ,183.34636,-26.30217, 0.048, 0.078,bll    ,HSP,16.500,16.607, 0.27800, 0.998, 0.000, 0.912,-0.741,     7.44,N, 106.000,17.755,      , 0.26, 0.83
268.7374,+73.4247,     857,J1213.7+1306 ,  0,Y,4C +13.46                 ,183.38404,+13.12247, 0.052, 0.144,fsrq   ,LSP,13.590,13.920, 1.13900, 0.988, 0.927, 0.000, 0.821,  1344.81,N,        ,17.534,17.780, 0.74, 1.51
137.4350,+66.0524,     858,J1215.0+5002 ,  0,Y,NVSS J121500+500216       ,183.75333,+50.03765, 0.014, 0.047,bll    ,ISP,14.680,14.680,        , 0.999, 0.867, 0.000,      ,    86.62,N,        ,17.634,16.950, 0.35,
261.5983,+76.7653,     859,J1215.1+1658 ,  0,Y,TXS 1212+171              ,183.76658,+16.91054, 0.062, 0.079,fsrq   ,LSP,12.620,12.949, 1.13200, 0.997, 0.861, 0.000, 0.447,   298.83,N,   7.970,19.544,      , 0.77, 0.91
188.8749,+82.0529,     860,J1217.8+3007 ,  1,Y,1ES 1215+303              ,184.46701,+30.11684, 0.002, 0.016,bll    ,HSP,15.205,15.258, 0.13000, 1.000, 0.973, 0.989,-0.390,   572.83,N, 864.000,13.807,14.860, 0.42, 0.94
285.3408,+61.2276,     861,J1218.0-0029 ,  0,Y,PKS 1215-002              ,184.49470,-00.49619, 0.018, 0.086,bll    ,LSP,13.355,13.507, 0.41900, 0.996, 0.908, 0.000,-0.136,   452.54,N,        ,19.698,17.120, 0.55, 1.30
286.0912,+60.4612,     862,J1218.4-0121 ,  0,Y,PKS 1216-010              ,184.64554,-01.33176, 0.050, 0.063,bll    ,LSP,13.842,13.842,        , 0.981, 0.863, 0.000,      ,   244.55,N,        ,18.983,16.970, 0.51, 1.64
127.0000,+47.7947,     863,J1218.5+6912 ,  0,N,NVSS J122044+690522       ,185.18567,+69.09036, 0.232, 0.339,bcu III,-  ,      ,      ,        , 0.805, 0.000, 0.000, 1.396,     8.18,N,  53.800,19.658,      , 0.41, 0.71
297.4017,+14.0825,     864,J1218.8-4827 ,  0,Y,PMN J1219-4826            ,184.75938,-48.44108, 0.035, 0.074,bcu II ,ISP,14.113,14.113,        , 0.993, 0.000, 0.000, 0.021,    62.00,S,        ,17.527,      , 0.42,
