GLON,GLAT,RECNO,ASSOC_3FGL,VHE,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,FRad,n_FRad,FX,LR-XG
198.9869,+06.3277,      62,J0648.8+1516,  0,RX J0648.7+1516      ,102.19854,+15.27355, 0.007, 0.029,bll    ,HSP,15.850,15.922, 0.17900, 1.000, 0.892,  64.80,N,381.00, 0.976
228.5081,-08.6187,      63,J0648.8-1740,  0,TXS 0646-176         ,102.11874,-17.73484, 0.109, 0.155,fsrq   ,LSP,12.480,12.829, 1.23200, 0.995, 0.898,1046.00,N,      ,      
227.7068,-07.7185,      64,J0650.4-1636,  0,PKS 0648-16          ,102.60242,-16.62770, 0.019, 0.094,bcu II ,LSP,11.465,11.465,        , 0.998, 0.954,1778.00,N,      ,      
194.0448,+09.1966,      65,J0650.5+2055,  0,1RXS J065033.9+205603,102.64681,+20.93242, 0.003, 0.040,bcu II ,HSP,15.650,15.650,        ,      ,      ,   6.90,N, 18.20, 0.892
204.8627,+04.9467,      66,J0654.5+0926,  0,RX J0654.3+0925      ,103.61306,+09.42644, 0.032, 0.231,bcu II ,HSP,15.350,15.350,        ,      ,      ,  44.40,N, 50.30, 0.840
216.4856,-00.4883,      67,J0656.2-0323,  0,TXS 0653-033         ,104.04634,-03.38522, 0.009, 0.053,fsrq   ,LSP,13.495,13.708, 0.63400, 1.000, 0.929, 403.00,N,      ,      
207.8584,+04.6324,      68,J0658.6+0636,  0,NVSS J065844+063711  ,104.68735,+06.61943, 0.039, 0.068,bcu II ,HSP,15.000,15.000,        , 0.999,      ,  25.00,N,      ,      
198.4732,+09.5763,      69,J0700.0+1709,  0,TXS 0657+172         ,105.00636,+17.15603, 0.016, 0.116,bcu II ,LSP,12.725,12.725,        , 0.999, 0.910, 648.00,N,      ,      
202.2123,+07.8410,      70,J0700.2+1304,  0,GB6 J0700+1304       ,105.05963,+13.07345, 0.013, 0.065,bcu II ,HSP,15.425,15.425,        , 0.998,      ,  78.00,N,      ,      
231.9277,-06.5290,      71,J0702.7-1952,  0,TXS 0700-197         ,105.67875,-19.85612, 0.015, 0.053,bll    ,ISP,14.050,14.050,        , 0.999, 0.937, 527.00,N,      ,      
217.6242,+02.7344,      72,J0709.7-0256,  0,PMN J0709-0255       ,107.43773,-02.92153, 0.019, 0.039,bll    ,LSP,12.830,13.223, 1.47200, 0.998, 0.898, 153.00,N,      ,      
212.6692,+08.5351,      73,J0721.4+0404,  0,PMN J0721+0406       ,110.34963,+04.11228, 0.041, 0.082,fsrq   ,LSP,12.700,12.921, 0.66500, 0.999, 0.881, 313.00,N, 12.90,      
223.2412,+03.5192,      74,J0723.2-0728,  0,1RXS J072259.5-073131,110.74895,-07.52649, 0.079, 0.090,bcu III,-  ,      ,      ,        , 0.976,      ,  85.00,N,150.00, 0.899
217.6971,+07.2272,      75,J0725.8-0054,  0,PKS 0723-008         ,111.46100,-00.91571, 0.010, 0.044,bcu I  ,LSP,13.355,13.407, 0.12800, 1.000, 0.967,1400.00,N,      ,      
245.1292,-06.5104,      76,J0729.5-3127,  0,NVSS J072922-313128  ,112.34570,-31.52438, 0.078, 0.157,bcu II ,LSP,13.133,13.133,        , 0.979,      ,  38.00,N,      ,      
227.7679,+03.1404,      77,J0730.2-1141,  0,PKS 0727-11          ,112.57964,-11.68683, 0.006, 0.013,fsrq   ,LSP,12.300,12.713, 1.58900, 1.000, 0.989,2760.00,N,      ,      
222.4080,+06.0658,      78,J0730.5-0537,  0,TXS 0728-054         ,112.61849,-05.59636, 0.027, 0.050,bcu II ,HSP,15.200,15.200,        , 0.997, 0.882, 168.00,N,      ,      
252.3345,-07.0422,      79,J0744.1-3804,  0,PMN J0743-3804       ,115.93736,-38.06650, 0.080, 0.269,bcu III,-  ,      ,      ,        , 0.936,      , 223.00,N,      ,      
254.5981,-08.0925,      80,J0744.8-4028,  0,PMN J0744-4032       ,116.15929,-40.53806, 0.083, 0.078,bcu II ,LSP,12.620,12.620,        , 0.872,      ,  65.00,A,      ,      
225.7096,+08.8065,      81,J0746.6-0706,  0,PMN J0746-0709       ,116.61456,-07.16379, 0.067, 0.098,bcu II ,ISP,14.230,14.230,        , 0.983,      ,  55.00,N,      ,      
248.4262,-03.9961,      82,J0747.2-3311,  0,PKS 0745-330         ,116.83201,-33.17971, 0.016, 0.033,bcu II ,LSP,13.850,13.850,        , 1.000, 0.958, 726.00,N,      ,      
234.2241,+04.4576,      83,J0748.0-1639,  0,TXS 0745-165         ,117.01285,-16.66396, 0.009, 0.125,bcu II ,LSP,11.920,11.920,        , 0.997, 0.915, 803.00,N,      ,      
230.7591,+08.2412,      84,J0754.4-1148,  0,TXS 0752-116         ,118.61024,-11.78804, 0.027, 0.039,bll    ,LSP,13.355,13.355,        , 1.000, 0.953, 881.00,N,      ,      
253.0426,-02.7577,      85,J0804.0-3629,  0,NVSS J080405-362919  ,121.02237,-36.48863, 0.008, 0.045,bcu II ,HSP,15.920,15.920,        , 0.999, 0.852,  57.00,N,      ,      
244.3250,+06.1207,      86,J0816.7-2421,  0,PMN J0816-2421       ,124.16838,-24.35183, 0.012, 0.073,bcu II ,LSP,12.340,12.340,        , 0.999, 0.873, 191.00,N,      ,      
252.0572,+03.2967,      87,J0825.8-3217,  0,PKS 0823-321         ,126.46405,-32.30645, 0.023, 0.066,bcu II ,ISP,14.030,14.030,        , 0.999, 0.914, 393.00,N,      ,      
243.9903,+08.9302,      88,J0825.9-2230,  0,PKS 0823-223         ,126.50655,-22.50756, 0.008, 0.018,bll    ,ISP,14.160,14.441, 0.91100, 1.000, 0.966, 520.00,N, 36.90, 0.947
245.8456,+08.4066,      89,J0828.8-2420,  0,NVSS J082841-241850  ,127.17383,-24.31403, 0.041, 0.098,bcu III,-  ,      ,      ,        ,      , 0.853, 249.00,N,      ,      
256.8771,+03.7327,      90,J0841.3-3554,  0,NVSS J084121-355506  ,130.34017,-35.91823, 0.014, 0.027,bcu II ,HSP,15.956,15.956,        , 1.000, 0.892,  74.00,N,      ,      
272.3161,-07.4921,      91,J0845.1-5458,  0,PMN J0845-5458       ,131.26034,-54.96904, 0.021, 0.039,bcu II ,LSP,13.005,13.005,        , 1.000, 0.981, 916.00,A,  9.04, 0.828
252.5950,+09.2026,      92,J0849.5-2912,  0,NVSS J084922-291149  ,132.34210,-29.19734, 0.043, 0.064,bcu II ,ISP,14.504,14.504,        , 0.988,      ,  21.30,N,      ,      
257.7525,+05.2139,      93,J0849.9-3540,  0,PMN J0849-3541       ,132.44010,-35.68369, 0.034, 0.052,bcu II ,LSP,12.900,12.900,        , 1.000, 0.913, 376.00,N,      ,      
275.3136,-08.5065,      94,J0852.6-5756,  0,PMN J0852-5755       ,133.16136,-57.92495, 0.022, 0.050,bcu II ,LSP,13.076,13.076,        , 0.999,      , 403.00,N, 16.20, 0.858
259.1909,+04.9297,      95,J0853.0-3654,  0,NVSS J085310-365820  ,133.29384,-36.97236, 0.061, 0.047,bcu II ,HSP,15.660,15.660,        , 0.883, 0.810, 206.00,N,      ,      
255.6101,+09.1975,      96,J0858.1-3130,  0,1RXS J085802.6-313043,134.51195,-31.51118, 0.029, 0.091,bcu II ,HSP,16.235,16.235,        ,      ,      ,   5.60,N,111.00, 0.913
259.3872,+07.8255,      97,J0904.8-3516,  0,NVSS J090442-351423  ,136.17658,-35.24010, 0.053, 0.084,bcu II ,ISP,14.171,14.171,        , 0.988, 0.864, 279.00,N,      ,      
276.1166,-07.0409,      98,J0904.8-5734,  0,PKS 0903-57          ,136.22158,-57.58494, 0.015, 0.030,bcu I  ,ISP,14.664,14.893, 0.69500, 1.000, 1.000,1434.00,A,      ,      
265.3516,+07.1903,      99,J0922.8-3959,  0,PKS 0920-39          ,140.69341,-39.99307, 0.017, 0.165,bcu II ,LSP,13.775,13.775,        , 0.999, 0.948,2616.00,N, 16.60,      
281.8851,-06.3057,     100,J0940.7-6102,  0,MRC 0939-608         ,145.19733,-61.12455, 0.078, 0.158,bcu II ,LSP,13.671,13.671,        , 0.984, 0.897, 491.00,A,      ,      
285.5266,-07.8858,     101,J0956.7-6441,  0,AT20G J095612-643928 ,149.05075,-64.65781, 0.067, 0.087,bcu II ,LSP,13.285,13.285,        , 0.928,      ,  70.00,A,      ,      
277.9209,+04.3700,     102,J1005.0-4959,  0,PMN J1006-5018       ,151.55837,-50.30374, 0.370, 0.197,bcu II ,LSP,12.140,12.140,        ,      , 1.000,1177.00,A,      ,      
276.0997,+09.4134,     103,J1015.2-4512,  0,PMN J1014-4508       ,153.70981,-45.14477, 0.097, 0.101,bcu II ,LSP,12.025,12.025,        , 0.986, 0.900, 542.00,A,      ,      
283.7217,+04.6518,     104,J1038.9-5311,  0,MRC 1036-529         ,159.66941,-53.19535, 0.040, 0.057,bcu II ,LSP,12.235,12.235,        , 0.998, 1.000,1675.00,A,      ,      
289.0860,-02.7890,     105,J1047.8-6216,  0,PMN J1047-6217       ,161.92897,-62.28740, 0.016, 0.044,bcu II ,LSP,12.200,12.200,        , 0.999, 1.000,2285.00,A,      ,      
290.8165,-05.2941,     106,J1051.5-6517,  0,PKS 1049-650         ,162.84800,-65.30240, 0.017, 0.063,bcu II ,ISP,14.030,14.030,        , 0.998,      , 220.00,A,      ,      
287.4177,+05.6496,     107,J1103.9-5357,  0,PKS 1101-536         ,165.96759,-53.95019, 0.007, 0.028,bll    ,LSP,13.830,13.830,        , 0.999, 0.984, 539.00,A,      ,      
293.5555,-03.0377,     108,J1123.2-6415,  0,AT20G J112319-641735 ,170.83090,-64.29339, 0.034, 0.078,bcu III,-  ,      ,      ,        , 0.995, 0.931, 280.00,A,      ,      
296.0709,-06.5901,     109,J1136.6-6826,  0,PKS 1133-681         ,174.00874,-68.45162, 0.062, 0.105,bcu III,-  ,      ,      ,        , 0.987, 0.932, 585.00,A,      ,      
299.6166,+09.6726,     110,J1229.8-5305,  0,AT20G J122939-530332 ,187.41637,-53.05894, 0.046, 0.116,bcu III,-  ,      ,      ,        , 0.991,      ,  56.00,A,      ,      
300.6036,+05.1954,     111,J1233.9-5736,  0,AT20G J123407-573552 ,188.52933,-57.59803, 0.019, 0.036,bcu II ,ISP,14.700,14.700,        , 0.998,      ,  59.00,A,      ,      
