GLON,GLAT,RECNO,ASSOC_3FGL,VHE,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,FRad,n_FRad,FX,LR-XG
352.7350,+02.3922,     143,J1717.8-3342,  0,TXS 1714-336         ,259.40012,-33.70245, 0.042, 0.036,bll    ,LSP,12.865,12.865,        , 1.000, 0.922,       , ,      ,      
355.0595,+03.8983,     144,J1718.1-3056,  0,PMN J1718-3056       ,259.52173,-30.93753, 0.007, 0.062,bcu III,-  ,      ,      ,        , 0.998, 0.880,       , ,      ,      
357.4483,+01.9504,     145,J1731.8-3001,  0,NVSS J173146-300309  ,262.94538,-30.05255, 0.035, 0.035,bll    ,-  ,      ,      ,        , 0.994, 0.841,       , ,      ,      
002.3855,+02.4356,     146,J1741.9-2539,  0,NVSS J174154-253743  ,265.47687,-25.62872, 0.034, 0.044,bcu III,-  ,      ,      ,        , 0.994, 0.813,       , ,      ,      
009.7683,+06.0863,     147,J1744.9-1725,  0,1RXS J174459.5-172640,266.24914,-17.44348, 0.011, 0.037,bcu III,-  ,      ,      ,        ,      , 0.837,       , ,      , 0.963
352.4511,-08.4253,     148,J1802.6-3940,  0,PMN J1802-3940       ,270.67783,-39.66886, 0.006, 0.017,fsrq   ,LSP,12.445,12.810, 1.31900, 1.000, 0.985,       , ,      ,      
358.6728,-09.9395,     149,J1823.6-3453,  0,NVSS J182338-345412  ,275.91079,-34.90334, 0.009, 0.024,bcu II ,HSP,16.140,16.140,        , 1.000, 0.925,       , ,      , 0.983
008.7697,-06.2004,     150,J1828.9-2417,  0,1RXS J182853.8-241746,277.22879,-24.29344, 0.015, 0.053,bcu I  ,HSP,16.456,16.456,        ,      , 0.872,       , ,      , 0.914
036.1621,+07.6110,     151,J1830.1+0617,  0,TXS 1827+062         ,277.52475,+06.32110, 0.032, 0.045,fsrq   ,LSP,12.305,12.547, 0.74500, 0.999, 0.920,       , ,      ,      
006.3358,-07.9440,     152,J1831.0-2714,  0,PMN J1831-2714       ,277.75019,-27.23505, 0.012, 0.114,bcu III,-  ,      ,      ,        , 0.994, 0.810,       , ,      ,      
012.1656,-05.7116,     153,J1833.6-2103,  0,PKS 1830-211         ,278.41619,-21.06126, 0.007, 0.014,fsrq   ,LSP,12.585,13.130, 2.50700, 1.000, 0.994,       , ,      , 0.939
043.5663,+09.7058,     154,J1835.4+1349,  0,TXS 1833+137         ,278.89730,+13.81354, 0.039, 0.118,bcu III,-  ,      ,      ,        , 0.991,      ,       , ,      ,      
046.3004,+08.6391,     155,J1844.3+1547,  0,NVSS J184425+154646  ,281.10567,+15.77940, 0.022, 0.039,bcu II ,ISP,14.708,14.708,        , 0.998, 0.867,       , ,      ,      
017.6756,-07.1149,     156,J1849.3-1645,  0,1RXS J184919.7-164726,282.33110,-16.78999, 0.026, 0.053,bcu III,-  ,      ,      ,        ,      ,      ,       , ,      , 0.907
033.6035,-04.4808,     157,J1908.8-0130,  0,NVSS J190836-012642  ,287.15393,-01.44532, 0.086, 0.074,bcu II ,LSP,11.782,11.782,        , 0.996,      ,       , ,      ,      
060.9729,+08.8983,     158,J1910.8+2855,  0,1RXS J191053.2+285622,287.71764,+28.93926, 0.012, 0.048,bcu II ,HSP,16.910,16.910,        ,      ,      ,       , ,      , 0.942
028.0456,-08.2470,     159,J1912.0-0804,  0,PMN J1912-0804       ,288.02970,-08.07275, 0.010, 0.077,bcu II ,HSP,15.050,15.050,        , 0.999, 0.905,       , ,      ,      
061.7851,+05.8195,     160,J1924.9+2817,  0,NVSS J192502+281542  ,291.25942,+28.26172, 0.043, 0.056,bcu II ,HSP,15.850,15.850,        ,      , 0.800,       , ,      , 0.906
047.9089,-01.7749,     161,J1925.7+1228,  0,TXS 1923+123         ,291.42007,+12.46058, 0.011, 0.115,bcu III,-  ,      ,      ,        , 0.992, 0.808,       , ,      ,      
046.0467,-04.3061,     162,J1931.1+0937,  0,RX J1931.1+0937      ,292.78819,+09.62119, 0.010, 0.020,bll    ,HSP,16.150,16.150,        , 1.000, 0.860,       , ,      , 0.980
044.3789,-05.8201,     163,J1933.4+0727,  0,1RXS J193320.3+072616,293.33459,+07.43941, 0.030, 0.074,bcu II ,HSP,15.980,15.980,        , 0.998, 0.823,       , ,      , 0.899
048.2573,-06.3650,     164,J1942.7+1033,  0,1RXS J194246.3+103339,295.69785,+10.55753, 0.009, 0.023,bcu II ,HSP,15.435,15.435,        , 1.000, 0.917,       , ,      , 0.958
051.3529,-06.3472,     165,J1949.0+1312,  0,87GB 194635.4+130713 ,297.23037,+13.24400, 0.043, 0.051,bcu II ,HSP,15.450,15.450,        ,      , 0.836,       , ,      ,      
052.7562,-07.3008,     166,J1955.1+1357,  0,87GB 195252.4+135009 ,298.79821,+13.97118, 0.017, 0.052,fsrq   ,LSP,12.865,13.106, 0.74300, 1.000, 0.885,       , ,      ,      
077.5264,+06.4484,     167,J2000.1+4212,  0,MG4 J195957+4213     ,299.99487,+42.22965, 0.032, 0.063,bcu II ,LSP,12.550,12.550,        , 0.997, 0.897,       , ,      ,      
079.0673,+07.1098,     168,J2001.1+4352,  1,MG4 J200112+4352     ,300.30364,+43.88134, 0.005, 0.012,bll    ,HSP,15.205,15.205,        , 1.000, 0.944,       , ,      ,      
082.3122,+06.8583,     169,J2012.0+4629,  0,7C 2010+4619         ,303.02349,+46.48216, 0.020, 0.026,bll    ,ISP,14.958,14.958,        , 1.000, 0.954,       , ,      , 0.967
074.8664,+01.2238,     170,J2015.6+3709,  0,MG2 J201534+3710     ,303.86971,+37.18320, 0.038, 0.027,fsrq   ,LSP,12.743,13.012, 0.85900, 0.994, 0.961,       , ,      ,      
076.5878,+01.6631,     171,J2018.5+3851,  0,TXS 2016+386         ,304.62927,+38.85538, 0.005, 0.048,bcu II ,LSP,13.508,13.508,        , 0.998, 0.910,       , ,      ,      
